Trial Number,X,Y,Time (s),State
0,5,5,0.0002269744873046875,Success
1,5,5,0.00010991096496582031,Success
2,5,5,0.00013589859008789062,Success
3,5,5,0.00015997886657714844,Success
4,5,5,0.00011706352233886719,Success
5,5,5,0.17549490928649902,Fail
6,5,5,0.00015592575073242188,Success
7,5,5,0.00015592575073242188,Success
8,5,5,7.796287536621094e-05,Success
9,5,5,0.17374300956726074,Fail
0,6,6,0.0001780986785888672,Success
1,6,6,0.0002048015594482422,Success
2,6,6,0.00015497207641601562,Success
3,6,6,0.00011491775512695312,Success
4,6,6,0.40856480598449707,Fail
5,6,6,0.40525102615356445,Fail
6,6,6,0.0002281665802001953,Success
7,6,6,0.0004489421844482422,Success
8,6,6,0.000102996826171875,Success
9,6,6,0.00011992454528808594,Success
0,7,7,0.00032711029052734375,Success
1,7,7,1.0420079231262207,Fail
2,7,7,0.8487820625305176,Fail
3,7,7,0.6345951557159424,Fail
4,7,7,0.0003840923309326172,Success
5,7,7,0.00015497207641601562,Success
6,7,7,1.2416729927062988,Fail
7,7,7,1.1212210655212402,Fail
8,7,7,0.6224460601806641,Fail
9,7,7,0.00019788742065429688,Success
0,8,8,0.00015211105346679688,Success
1,8,8,1.8807308673858643,Fail
2,8,8,0.0001418590545654297,Success
3,8,8,1.0501070022583008,Fail
4,8,8,2.191736936569214,Fail
5,8,8,0.0005099773406982422,Success
6,8,8,0.0009729862213134766,Success
7,8,8,1.909407138824463,Fail
8,8,8,0.5988688468933105,Fail
9,8,8,0.0005049705505371094,Success
0,9,9,0.00019097328186035156,Success
1,9,9,0.0002009868621826172,Success
2,9,9,0.0002589225769042969,Success
3,9,9,0.009462833404541016,Success
4,9,9,0.0005919933319091797,Success
5,9,9,4.353524208068848,Fail
6,9,9,0.00017690658569335938,Success
7,9,9,4.313745021820068,Fail
8,9,9,3.4829111099243164,Fail
9,9,9,0.000431060791015625,Success
0,10,10,0.0010428428649902344,Success
1,10,10,8.256582975387573,Fail
2,10,10,0.0005738735198974609,Success
3,10,10,0.0006601810455322266,Success
4,10,10,0.0013020038604736328,Success
5,10,10,7.857958793640137,Fail
6,10,10,0.0005970001220703125,Success
7,10,10,4.561440944671631,Fail
8,10,10,0.00034999847412109375,Success
9,10,10,0.0007460117340087891,Success
